annualinc,collections,delinq,inq,openacc,dti,pubrec,lstatus,applytype_INDIVIDUAL,homeowner_MORTGAGE,homeowner_RENT,homeowner_OWN,term_36 months,vstatus_Not Verified,vstatus_Verified
51.0,0,2,0,13,20.99,0,On Time,1,1,0,0,0,0,0
48.0,0,0,0,6,9.8,0,On Time,1,0,1,0,1,1,0
45.0,0,0,0,7,23.36,0,On Time,1,1,0,0,0,1,0
65.0,0,0,0,16,24.26,0,On Time,1,1,0,0,1,1,0
90.0,0,0,0,13,12.23,0,On Time,1,1,0,0,1,0,0
178.46472,0,0,5,10,21.34,0,On Time,1,1,0,0,1,0,0
100.0,0,0,1,12,26.61,1,On Time,1,0,1,0,1,0,0
32.0,0,0,1,8,10.65,1,On Time,1,0,1,0,1,0,1
42.0,0,0,3,3,3.26,0,On Time,1,0,1,0,1,0,1
38.0,0,0,0,10,33.15,0,On Time,1,0,1,0,1,0,0
50.0,0,0,1,16,16.92,1,On Time,1,1,0,0,0,0,0
50.0,0,0,1,23,28.23,0,On Time,1,1,0,0,0,1,0
71.316,0,1,1,13,14.79,0,Risky,1,1,0,0,0,0,1
140.0,0,0,0,11,13.84,0,On Time,1,0,0,1,0,0,0
75.0,0,0,0,5,24.24,0,On Time,1,1,0,0,1,0,0
133.0,0,0,0,7,13.2,0,On Time,1,1,0,0,1,1,0
143.5,0,0,0,13,17.44,0,On Time,1,1,0,0,1,0,0
66.0,0,0,3,8,17.09,0,Risky,1,1,0,0,1,0,1
151.307,0,1,0,11,18.82,0,On Time,1,1,0,0,0,0,1
114.0,0,4,0,11,22.77,0,On Time,1,1,0,0,0,0,0
