annualinc,applytype,collections,delinq,inq,openacc,dti,pubrec,homeowner,term,vstatus,lstatus
288.0,INDIVIDUAL,0,2,0,12,7.08,0,MORTGAGE,36 months,Verified,On Time
47.5,INDIVIDUAL,0,0,0,14,11.7,0,MORTGAGE,60 months,Source Verified,On Time
44.0,INDIVIDUAL,0,0,1,6,23.81,0,RENT,36 months,Not Verified,On Time
44.5,INDIVIDUAL,0,0,0,19,7.52,0,MORTGAGE,36 months,Verified,Risky
1254.0,INDIVIDUAL,0,3,1,9,0.67,0,RENT,36 months,Source Verified,On Time
34.0,INDIVIDUAL,0,0,0,4,22.66,1,RENT,36 months,Not Verified,On Time
75.0,INDIVIDUAL,0,0,1,10,2.6,1,MORTGAGE,36 months,Not Verified,On Time
93.0,INDIVIDUAL,0,1,0,14,28.09,0,MORTGAGE,60 months,Verified,On Time
95.0,INDIVIDUAL,0,0,0,8,4.24,0,MORTGAGE,36 months,Verified,On Time
36.0,INDIVIDUAL,0,0,3,11,19.7,0,RENT,36 months,Not Verified,On Time
52.5,INDIVIDUAL,0,0,2,12,26.81,0,RENT,36 months,Not Verified,Risky
106.0,INDIVIDUAL,0,0,2,25,26.28,0,MORTGAGE,36 months,Source Verified,On Time
170.0,INDIVIDUAL,0,0,2,8,6.62,0,MORTGAGE,36 months,Source Verified,On Time
109.0,INDIVIDUAL,0,1,4,6,6.29,0,RENT,36 months,Not Verified,On Time
15.6,INDIVIDUAL,0,0,0,5,5.08,1,RENT,36 months,Not Verified,On Time
97.0,INDIVIDUAL,0,0,1,6,12.2,0,OWN,36 months,Not Verified,On Time
75.0,INDIVIDUAL,0,1,1,7,11.6,0,RENT,36 months,Source Verified,On Time
87.5,INDIVIDUAL,0,0,0,8,16.64,0,MORTGAGE,60 months,Verified,On Time
50.0,INDIVIDUAL,0,0,2,3,11.71,0,OWN,36 months,Not Verified,On Time
23.0,INDIVIDUAL,0,0,1,8,22.38,0,RENT,36 months,Not Verified,On Time
240.0,INDIVIDUAL,0,2,2,15,10.25,0,RENT,36 months,Source Verified,On Time
80.0,INDIVIDUAL,0,0,1,11,9.87,0,RENT,36 months,Verified,On Time
169.0,INDIVIDUAL,0,0,1,22,18.23,0,MORTGAGE,36 months,Not Verified,On Time
